ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNW,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNW,Variance,80655.805
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNW,Max,1040
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNR,Mean,1024
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNR,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNR,Variance,975758.25
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FNR,Max,3328
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FRL,Mean,2.003419
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FRL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FRL,Variance,6.1441684
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FRL,Max,8
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FWL,Mean,2.9640882
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FWL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FWL,Variance,94.089264
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Data.ndf,ROWS,2022-10-25 09:13:46,FWL,Max,42.666668
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRM,Mean,618.6667
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRM,Variance,359082.62
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRM,Max,2080
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWM,Mean,54
